n,word_forward_count,word_backward_count,candidate_words,candidate_initials,ambiguous,printed_marker,beyond_last_marker
890,tyranny,tyranny,tyranny,T,,,continued
891,already,already,already,A,,,continued
892,begun,begun,begun,B,,,continued
893,with,with,with,W,,,continued
894,circumstances,circumstances,circumstances,C,,,continued
895,of,of,of,O,,,continued
896,cruelty,cruelty,cruelty,C,,,continued
897,and,and,and,A,,,continued
898,perfidy,perfidy,perfidy,P,,,continued
899,scarcely,scarcely,scarcely,S,,,continued
900,paralleled,paralleled,paralleled,P,,,continued
901,in,in,in,I,,,continued
902,the,the,the,T,,,continued
903,most,most,most,M,,,continued
904,barbarous,barbarous,barbarous,B,,,continued
905,ages,ages,ages,A,,,continued
906,and,and,and,A,,,continued
907,totally,totally,totally,T,,,continued
908,unworthy,unworthy,unworthy,U,,,continued
909,the,the,the,T,,,continued
910,head,head,head,H,,,continued
911,of,of,of,O,,,continued
912,a,a,a,A,,,continued
913,civilized,civilized,civilized,C,,,continued
914,nation,nation,nation,N,,,continued
915,he,he,he,H,,,continued
916,has,has,has,H,,,continued
917,constrained,constrained,constrained,C,,,continued
918,our,our,our,O,,,continued
919,fellow,fellow,fellow,F,,,continued
920,citizens,citizens,citizens,C,,,continued
921,taken,taken,taken,T,,,continued
922,captive,captive,captive,C,,,continued
923,on,on,on,O,,,continued
924,the,the,the,T,,,continued
925,high,high,high,H,,,continued
926,seas,seas,seas,S,,,continued
927,to,to,to,T,,,continued
928,bear,bear,bear,B,,,continued
929,arms,arms,arms,A,,,continued
930,against,against,against,A,,,continued
931,their,their,their,T,,,continued
932,country,country,country,C,,,continued
933,to,to,to,T,,,continued
934,become,become,become,B,,,continued
935,the,the,the,T,,,continued
936,executioners,executioners,executioners,E,,,continued
937,of,of,of,O,,,continued
938,their,their,their,T,,,continued
939,friends,friends,friends,F,,,continued
940,and,and,and,A,,,continued
941,brethren,brethren,brethren,B,,,continued
942,or,or,or,O,,,continued
943,to,to,to,T,,,continued
944,fall,fall,fall,F,,,continued
945,themselves,themselves,themselves,T,,,continued
946,by,by,by,B,,,continued
947,their,their,their,T,,,continued
948,hands,hands,hands,H,,,continued
949,he,he,he,H,,,continued
950,has,has,has,H,,,continued
951,excited,excited,excited,E,,,continued
952,domestic,domestic,domestic,D,,,continued
953,insurrections,insurrections,insurrections,I,,,continued
954,amongst,amongst,amongst,A,,,continued
955,us,us,us,U,,,continued
956,and,and,and,A,,,continued
957,has,has,has,H,,,continued
958,endeavored,endeavored,endeavored,E,,,continued
959,to,to,to,T,,,continued
960,bring,bring,bring,B,,,continued
961,on,on,on,O,,,continued
962,the,the,the,T,,,continued
963,inhabitants,inhabitants,inhabitants,I,,,continued
964,of,of,of,O,,,continued
965,our,our,our,O,,,continued
966,frontiers,frontiers,frontiers,F,,,continued
967,the,the,the,T,,,continued
968,merciless,merciless,merciless,M,,,continued
969,indian,indian,indian,I,,,continued
970,savages,savages,savages,S,,,continued
971,whose,whose,whose,W,,,continued
972,known,known,known,K,,,continued
973,rule,rule,rule,R,,,continued
974,of,of,of,O,,,continued
975,warfare,warfare,warfare,W,,,continued
976,is,is,is,I,,,continued
977,an,an,an,A,,,continued
978,undistinguished,undistinguished,undistinguished,U,,,continued
979,destruction,destruction,destruction,D,,,continued
980,of,of,of,O,,,continued
981,all,all,all,A,,,continued
982,ages,ages,ages,A,,,continued
983,sexes,sexes,sexes,S,,,continued
984,and,and,and,A,,,continued
985,conditions,conditions,conditions,C,,,continued
986,in,in,in,I,,,continued
987,every,every,every,E,,,continued
988,stage,stage,stage,S,,,continued
989,of,of,of,O,,,continued
990,these,these,these,T,,,continued
991,oppressions,oppressions,oppressions,O,,,continued
992,we,we,we,W,,,continued
993,have,have,have,H,,,continued
994,petitioned,petitioned,petitioned,P,,,continued
995,for,for,for,F,,,continued
996,redress,redress,redress,R,,,continued
997,in,in,in,I,,,continued
998,the,the,the,T,,,continued
999,most,most,most,M,,,continued
1000,humble,humble,humble,H,,,continued
1001,terms,terms,terms,T,,,continued
1002,our,our,our,O,,,continued
1003,repeated,repeated,repeated,R,,,continued
1004,petitions,petitions,petitions,P,,,continued
1005,have,have,have,H,,,continued
1006,been,been,been,B,,,continued
1007,answered,answered,answered,A,,,continued
1008,only,only,only,O,,,continued
1009,by,by,by,B,,,continued
1010,repeated,repeated,repeated,R,,,continued
1011,injury,injury,injury,I,,,continued
1012,a,a,a,A,,,continued
1013,prince,prince,prince,P,,,continued
1014,whose,whose,whose,W,,,continued
1015,character,character,character,C,,,continued
1016,is,is,is,I,,,continued
1017,thus,thus,thus,T,,,continued
1018,marked,marked,marked,M,,,continued
1019,by,by,by,B,,,continued
1020,every,every,every,E,,,continued
1021,act,act,act,A,,,continued
1022,which,which,which,W,,,continued
1023,may,may,may,M,,,continued
1024,define,define,define,D,,,continued
1025,a,a,a,A,,,continued
1026,tyrant,tyrant,tyrant,T,,,continued
1027,is,is,is,I,,,continued
1028,unfit,unfit,unfit,U,,,continued
1029,to,to,to,T,,,continued
1030,be,be,be,B,,,continued
1031,the,the,the,T,,,continued
1032,ruler,ruler,ruler,R,,,continued
1033,of,of,of,O,,,continued
1034,a,a,a,A,,,continued
1035,free,free,free,F,,,continued
1036,people,people,people,P,,,continued
1037,nor,nor,nor,N,,,continued
1038,have,have,have,H,,,continued
1039,we,we,we,W,,,continued
1040,been,been,been,B,,,continued
1041,wanting,wanting,wanting,W,,,continued
1042,in,in,in,I,,,continued
1043,attention,attention,attention,A,,,continued
1044,to,to,to,T,,,continued
1045,our,our,our,O,,,continued
1046,british,british,british,B,,,continued
1047,brethren,brethren,brethren,B,,,continued
1048,we,we,we,W,,,continued
1049,have,have,have,H,,,continued
1050,warned,warned,warned,W,,,continued
1051,them,them,them,T,,,continued
1052,from,from,from,F,,,continued
1053,time,time,time,T,,,continued
1054,to,to,to,T,,,continued
1055,time,time,time,T,,,continued
1056,of,of,of,O,,,continued
1057,attempts,attempts,attempts,A,,,continued
1058,made,made,made,M,,,continued
1059,by,by,by,B,,,continued
1060,their,their,their,T,,,continued
1061,legislature,legislature,legislature,L,,,continued
1062,to,to,to,T,,,continued
1063,extend,extend,extend,E,,,continued
1064,an,an,an,A,,,continued
1065,unwarrantable,unwarrantable,unwarrantable,U,,,continued
1066,jurisdiction,jurisdiction,jurisdiction,J,,,continued
1067,over,over,over,O,,,continued
1068,us,us,us,U,,,continued
1069,we,we,we,W,,,continued
1070,have,have,have,H,,,continued
1071,reminded,reminded,reminded,R,,,continued
1072,them,them,them,T,,,continued
1073,of,of,of,O,,,continued
1074,the,the,the,T,,,continued
1075,circumstances,circumstances,circumstances,C,,,continued
1076,of,of,of,O,,,continued
1077,our,our,our,O,,,continued
1078,emigration,emigration,emigration,E,,,continued
1079,and,and,and,A,,,continued
1080,settlement,settlement,settlement,S,,,continued
1081,here,here,here,H,,,continued
1082,we,we,we,W,,,continued
1083,have,have,have,H,,,continued
1084,appealed,appealed,appealed,A,,,continued
1085,to,to,to,T,,,continued
1086,their,their,their,T,,,continued
1087,native,native,native,N,,,continued
1088,justice,justice,justice,J,,,continued
1089,and,and,and,A,,,continued
1090,magnanimity,magnanimity,magnanimity,M,,,continued
1091,and,and,and,A,,,continued
1092,we,we,we,W,,,continued
1093,have,have,have,H,,,continued
1094,conjured,conjured,conjured,C,,,continued
1095,them,them,them,T,,,continued
1096,by,by,by,B,,,continued
1097,the,the,the,T,,,continued
1098,ties,ties,ties,T,,,continued
1099,of,of,of,O,,,continued
1100,our,our,our,O,,,continued
1101,common,common,common,C,,,continued
1102,kindred,kindred,kindred,K,,,continued
1103,to,to,to,T,,,continued
1104,disavow,disavow,disavow,D,,,continued
1105,these,these,these,T,,,continued
1106,usurpations,usurpations,usurpations,U,,,continued
1107,which,which,which,W,,,continued
1108,would,would,would,W,,,continued
1109,inevitably,inevitably,inevitably,I,,,continued
1110,interrupt,interrupt,interrupt,I,,,continued
1111,our,our,our,O,,,continued
1112,connection,connection,connection,C,,,continued
1113,and,and,and,A,,,continued
1114,correspondence,correspondence,correspondence,C,,,continued
1115,they,they,they,T,,,continued
1116,too,too,too,T,,,continued
1117,have,have,have,H,,,continued
1118,been,been,been,B,,,continued
1119,deaf,deaf,deaf,D,,,continued
1120,to,to,to,T,,,continued
1121,the,the,the,T,,,continued
1122,voice,voice,voice,V,,,continued
1123,of,of,of,O,,,continued
1124,justice,justice,justice,J,,,continued
1125,and,and,and,A,,,continued
1126,consanguinity,consanguinity,consanguinity,C,,,continued
1127,we,we,we,W,,,continued
1128,must,must,must,M,,,continued
1129,therefore,therefore,therefore,T,,,continued
1130,acquiesce,acquiesce,acquiesce,A,,,continued
1131,in,in,in,I,,,continued
1132,the,the,the,T,,,continued
1133,necessity,necessity,necessity,N,,,continued
1134,which,which,which,W,,,continued
1135,denounces,denounces,denounces,D,,,continued
1136,our,our,our,O,,,continued
1137,separation,separation,separation,S,,,continued
1138,and,and,and,A,,,continued
1139,hold,hold,hold,H,,,continued
1140,them,them,them,T,,,continued
1141,as,as,as,A,,,continued
1142,we,we,we,W,,,continued
1143,hold,hold,hold,H,,,continued
1144,the,the,the,T,,,continued
1145,rest,rest,rest,R,,,continued
1146,of,of,of,O,,,continued
1147,mankind,mankind,mankind,M,,,continued
1148,enemies,enemies,enemies,E,,,continued
1149,in,in,in,I,,,continued
1150,war,war,war,W,,,continued
1151,in,in,in,I,,,continued
1152,peace,peace,peace,P,,,continued
1153,friends,friends,friends,F,,,continued
1154,we,we,we,W,,,continued
1155,therefore,therefore,therefore,T,,,continued
1156,the,the,the,T,,,continued
1157,representatives,representatives,representatives,R,,,continued
1158,of,of,of,O,,,continued
1159,the,the,the,T,,,continued
1160,united,united,united,U,,,continued
1161,states,states,states,S,,,continued
1162,of,of,of,O,,,continued
1163,america,america,america,A,,,continued
1164,in,in,in,I,,,continued
1165,general,general,general,G,,,continued
1166,congress,congress,congress,C,,,continued
1167,assembled,assembled,assembled,A,,,continued
1168,appealing,appealing,appealing,A,,,continued
1169,to,to,to,T,,,continued
1170,the,the,the,T,,,continued
1171,supreme,supreme,supreme,S,,,continued
1172,judge,judge,judge,J,,,continued
1173,of,of,of,O,,,continued
1174,the,the,the,T,,,continued
1175,world,world,world,W,,,continued
1176,for,for,for,F,,,continued
1177,the,the,the,T,,,continued
1178,rectitude,rectitude,rectitude,R,,,continued
1179,of,of,of,O,,,continued
1180,our,our,our,O,,,continued
1181,intentions,intentions,intentions,I,,,continued
1182,do,do,do,D,,,continued
1183,in,in,in,I,,,continued
1184,the,the,the,T,,,continued
1185,name,name,name,N,,,continued
1186,and,and,and,A,,,continued
1187,by,by,by,B,,,continued
1188,the,the,the,T,,,continued
1189,authority,authority,authority,A,,,continued
1190,of,of,of,O,,,continued
1191,the,the,the,T,,,continued
1192,good,good,good,G,,,continued
1193,people,people,people,P,,,continued
1194,of,of,of,O,,,continued
1195,these,these,these,T,,,continued
1196,colonies,colonies,colonies,C,,,continued
1197,solemnly,solemnly,solemnly,S,,,continued
1198,publish,publish,publish,P,,,continued
1199,and,and,and,A,,,continued
1200,declare,declare,declare,D,,,continued
1201,that,that,that,T,,,continued
1202,these,these,these,T,,,continued
1203,united,united,united,U,,,continued
1204,colonies,colonies,colonies,C,,,continued
1205,are,are,are,A,,,continued
1206,and,and,and,A,,,continued
1207,of,of,of,O,,,continued
1208,right,right,right,R,,,continued
1209,ought,ought,ought,O,,,continued
1210,to,to,to,T,,,continued
1211,be,be,be,B,,,continued
1212,free,free,free,F,,,continued
1213,and,and,and,A,,,continued
1214,independent,independent,independent,I,,,continued
1215,states,states,states,S,,,continued
1216,that,that,that,T,,,continued
1217,they,they,they,T,,,continued
1218,are,are,are,A,,,continued
1219,absolved,absolved,absolved,A,,,continued
1220,from,from,from,F,,,continued
1221,all,all,all,A,,,continued
1222,allegiance,allegiance,allegiance,A,,,continued
1223,to,to,to,T,,,continued
1224,the,the,the,T,,,continued
1225,british,british,british,B,,,continued
1226,crown,crown,crown,C,,,continued
1227,and,and,and,A,,,continued
1228,that,that,that,T,,,continued
1229,all,all,all,A,,,continued
1230,political,political,political,P,,,continued
1231,connection,connection,connection,C,,,continued
1232,between,between,between,B,,,continued
1233,them,them,them,T,,,continued
1234,and,and,and,A,,,continued
1235,the,the,the,T,,,continued
1236,state,state,state,S,,,continued
1237,of,of,of,O,,,continued
1238,great,great,great,G,,,continued
1239,britain,britain,britain,B,,,continued
1240,is,is,is,I,,,continued
1241,and,and,and,A,,,continued
1242,ought,ought,ought,O,,,continued
1243,to,to,to,T,,,continued
1244,be,be,be,B,,,continued
1245,totally,totally,totally,T,,,continued
1246,dissolved,dissolved,dissolved,D,,,continued
1247,and,and,and,A,,,continued
1248,that,that,that,T,,,continued
1249,as,as,as,A,,,continued
1250,free,free,free,F,,,continued
1251,and,and,and,A,,,continued
1252,independent,independent,independent,I,,,continued
1253,states,states,states,S,,,continued
1254,they,they,they,T,,,continued
1255,have,have,have,H,,,continued
1256,full,full,full,F,,,continued
1257,power,power,power,P,,,continued
1258,to,to,to,T,,,continued
1259,levy,levy,levy,L,,,continued
1260,war,war,war,W,,,continued
1261,conclude,conclude,conclude,C,,,continued
1262,peace,peace,peace,P,,,continued
1263,contract,contract,contract,C,,,continued
1264,alliances,alliances,alliances,A,,,continued
1265,establish,establish,establish,E,,,continued
1266,commerce,commerce,commerce,C,,,continued
1267,and,and,and,A,,,continued
1268,to,to,to,T,,,continued
1269,do,do,do,D,,,continued
1270,all,all,all,A,,,continued
1271,other,other,other,O,,,continued
1272,acts,acts,acts,A,,,continued
1273,and,and,and,A,,,continued
1274,things,things,things,T,,,continued
1275,which,which,which,W,,,continued
1276,independent,independent,independent,I,,,continued
1277,states,states,states,S,,,continued
1278,may,may,may,M,,,continued
1279,of,of,of,O,,,continued
1280,right,right,right,R,,,continued
1281,do,do,do,D,,,continued
1282,and,and,and,A,,,continued
1283,for,for,for,F,,,continued
1284,the,the,the,T,,,continued
1285,support,support,support,S,,,continued
1286,of,of,of,O,,,continued
1287,this,this,this,T,,,continued
1288,declaration,declaration,declaration,D,,,continued
1289,with,with,with,W,,,continued
1290,a,a,a,A,,,continued
1291,firm,firm,firm,F,,,continued
1292,reliance,reliance,reliance,R,,,continued
1293,on,on,on,O,,,continued
1294,the,the,the,T,,,continued
1295,protection,protection,protection,P,,,continued
1296,of,of,of,O,,,continued
1297,divine,divine,divine,D,,,continued
1298,providence,providence,providence,P,,,continued
1299,we,we,we,W,,,continued
1300,mutually,mutually,mutually,M,,,continued
1301,pledge,pledge,pledge,P,,,continued
1302,to,to,to,T,,,continued
1303,each,each,each,E,,,continued
1304,other,other,other,O,,,continued
1305,our,our,our,O,,,continued
1306,lives,lives,lives,L,,,continued
1307,our,our,our,O,,,continued
1308,fortunes,fortunes,fortunes,F,,,continued
1309,and,and,and,A,,,continued
1310,our,our,our,O,,,continued
1311,sacred,sacred,sacred,S,,,continued
1312,honor,honor,honor,H,,,continued
