QUERY: "silver star" AND date within "1947-01-01 1955-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: silverstar AND date within "1947-01-01 1955-12-31" | collection: DDD_artikel | numberOfRecords: 111 
1953/10/24 | 't Nieuws voor Kampen | p4 | MMSAK01:164713100:mpeg21:a00060 | NUNSPEET Deel van huis uitgebrand | Stadsarchief Kampen
1948/01/23 | Harlinger courant | p1 | MMTRES04:211345007:mpeg21:a00002 | PLAATSELIJK NIEUWS. De ondergang van de HA 105. | Tresoar
1948/12/22 | Het Rotterdamsch parool | p2 | MMSARO02:164871148:mpeg21:a00031 | SCHEEPVAART | Stadsarchief Rotterdam
1948/10/06 | De Nederlandsche transportcourant | p2 | MMKB19:003646233:mpeg21:a00013 | SCHEEPSTIJDINGEN | Koninklijke Bibliotheek
1948/12/31 | Het Parool | p | ABCDDD:010828804:mpeg21:a0213 | Parade van twaalf Maanden: Blij hoogtepunt maast triest dieptepunt NEDERLAND beleefde een  | Koninklijke Bibliotheek
1948/09/17 | Helmondsche courant | p | MMRHCE01:000047289:mpeg21:a0028 | UIT DE PROVINCIE Mierlo-Hout | Regionaal Historisch Centrum Eindhoven
1948/12/24 | De Nederlandsche transportcourant | p4 | MMKB19:003646301:mpeg21:a00035 | Nederlandse schepen in het buitenland | Koninklijke Bibliotheek
1948/10/22 | De waarheid | p1 | ddd:010850696:mpeg21:a0001 | De vliegramp van de „Nijmegen” Ook de laatste leden der bemanning aan verwondingen bezweke | Internationaal Instituut voor Sociale Ge
1948/05/15 | De Nederlander | p3 | MMKB19:000082113:mpeg21:a00031 | Visserij Vlaardingen's bestaansbror | Koninklijke Bibliotheek
1948/05/18 | Bredasche courant | p | MMSAB03:000068339:mpeg21:a0001 | ISRAEL VECHT VOOR ZIJN LEVEN Ook Rusland erkent de nieuwe staat | Stadsarchief Breda
1948/10/23 | Het Rotterdamsch parool | p2 | MMSARO02:164871097:mpeg21:a00037 | SCHEEPVAART | Stadsarchief Rotterdam
1948/11/16 | Het vrĳe volk : democratisch-socialistisch dagblad | p2 | ddd:010949893:mpeg21:a0051 | Scheepvaartberichten | Gemeentearchief Rotterdam
1948/01/06 | De Nederlandsche transportcourant | p3 | MMKB19:003646004:mpeg21:a00022 | SCHEEPVAARTBEWEGING BINNENLANDSE HAVENS | Koninklijke Bibliotheek
1948/05/31 | De Nederlandsche transportcourant | p2 | MMKB19:003646125:mpeg21:a00019 | SCHEEPSTIJDINGEN | Koninklijke Bibliotheek
1948/01/26 | De Nederlandsche transportcourant | p2 | MMKB19:003646021:mpeg21:a00018 | SCHEEPSTIJDINGEN | Koninklijke Bibliotheek
1948/05/28 | De Nederlandsche transportcourant | p4 | MMKB19:003646123:mpeg21:a00035 | Nederlandse schepen in het buitenland | Koninklijke Bibliotheek
1948/10/20 | De Noord-Ooster | p | MMVEEN01:000084598:mpeg21:a0035 | NIEUWS UIT EIGEN KRING WILDERVANK, 20 Oct. UIT HET POLITIERAPPORT. | Veenkoloniaal Museum
1948/06/22 | De Maasbode | p3 | MMKB15:000554145:mpeg21:a00036 | BEURS VAN AMSTERDAM | Koninklijke Bibliotheek
1948/08/13 | Nieuw Israelietisch weekblad | p3 | ddd:010872055:mpeg21:a0005 | Op weg naar overwinning | Universiteitsbibliotheek Amsterdam ROS V
1948/12/28 | De Nederlandsche transportcourant | p3 | MMKB19:003646302:mpeg21:a00021 | SCHEEPVAARTBEWEGIN G BINNENLANDSE HAVENS | Koninklijke Bibliotheek
1948/04/12 | De Maasbode | p5 | MMKB15:000554086:mpeg21:a00049 | Tot voortzetting besloten | Koninklijke Bibliotheek
1948/02/03 | Algemeen Dagblad | p4 | MMSARO03:259004028:mpeg21:a00069 | Uit de BOEKWINKEL | Stadsarchief Rotterdam
1948/04/08 | De Maasbode | p3 | MMKB15:000554083:mpeg21:a00031 | Vordering van $-shares niet te vermijden | Koninklijke Bibliotheek
1948/05/07 | De Maasbode | p5 | MMKB15:000554107:mpeg21:a00045 | Financiën | Koninklijke Bibliotheek
1948/02/04 | De Maasbode | p3 | MMKB15:000554029:mpeg21:a00024 | Beurs van Amsterdam | Koninklijke Bibliotheek
1948/04/05 | Het Binnenhof | p2 | MMKB19:000368080:mpeg21:a00007 | De zaak-Weinreb opnieuw aan de orde | Koninklijke Bibliotheek
1948/11/06 | Nieuwsblad van het Noorden | p3 | ddd:010884735:mpeg21:a0059 | Advertentie | Groninger archieven 649-1311
1948/10/04 | De Nederlandsche transportcourant | p2 | MMKB19:003646231:mpeg21:a00019 | SCHEEPSTIJDINGEN | Koninklijke Bibliotheek
1948/09/23 | Amigoe di Curacao | p | KBDDD02:000209344:mpeg21:a0005 | Koningin Wilhelmina en haar Marine | Koninklijke Bibliotheek
1948/04/28 | Amigoe di Curacao | p | KBDDD02:000210403:mpeg21:a0001 | De houding van Abdullah van Transjordanie niet duidelijk Moeilijkheden tussen Italië en Jo | Koninklijke Bibliotheek
1948/07/02 | Emmer courant | p1 | MMGEM01:163333001:mpeg21:a00001 | Wereldproblemen in vogelvlucht Westelijke mogendheden wijken niet Voor Russische druk Russ | Gemeente Emmen
1948/10/02 | Het vrĳe volk : democratisch-socialistisch dagblad | p2 | ddd:010950135:mpeg21:a0082 | Scheepvaartberichten | Gemeentearchief Rotterdam
1948/06/26 | De Graafschapper | p2 | MMECAL02:179991171:mpeg21:a00015 | GEWESTELIJK NIEUWS | Erfgoedcentrum Achterhoek en Liemers

QUERY: "straat malakka" AND "S.O.S." AND date within "1947-01-01 1948-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "alle officieren" AND dood AND date within "1948-01-01 1948-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "ik sterf" AND date within "1948-01-01 1948-12-31" | collection: DDD_artikel | numberOfRecords: 0 

