source_db,db_id,url,publication_refs,province,findspot_modern,findspot_ancient,type,text,date_from,date_to,date_basis_if_stated,person,rank,include,notes
EDH,HD056334,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD056334,"CIL 03, 00551. ; ILS 0928. ; IG 02 (2. Aufl.) 04126. ; M.C.J. Miller, Inscriptiones Atticae. Supplementum inscriptionum Atticarum 6 (Chicago 1992) 13-15, Nr. 4. ; PIR (2. Aufl.) A 993. ;",Achaia,Athínai,Athenae,honorific inscription / tabula?,L(ucio) Aquillio C(ai) f(ilio) Pom(ptina) Floro / Turciano Gallo / Xvir(o) stl(itibus) iud(icandis) tribuno mil(itum) leg(ionis) VIIII / Macedonic(ae) quaestor(i) Imp(eratoris) Caesar(is) Aug(usti) / proquaest(ore) provinc(iae) Cypri tr(ibuno) pl(ebi) pr(aetori) proco(n)s(uli) Achaiae // ἡ βουλὴ ἡ ἐξ Ἀρείου πά/γου καὶ ἡ βουλὴ ἡ τῶν χʹ κα[ὶ] / ὁ δῆμος Λ(ούκιον) Ἀκύλλιον Φλῶ/ρον Τουρκιανὸν Γάλλον ἀν/θύπατον εὐνοίας ἕνεκεν / τῆς πρὸς τὴν πόλιν / ἐπὶ ἱερίας Ἱπποσσθενίδος τῆς Νικοκλέ/[ους Πε]ιραιέως θυγατρός,,,EDH dating field,L. Aquillius C. f. Pom. Florus Turcianus Gallus,tribunus militum leg. VIIII Macedonicae,flag,"Concordance EDCS EDCS-27000426. = EDH HD056334 (Athens, CIL III 551 = ILS 928). Same man/cognomen issue as EDCS-08200279."
EDH,HD069558,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD069558,"CIL 07, 00183. (B) ; ILS 2255. (B) ; RIB 0255; Zeichnung. ; J. Huskinson, Roman sculpture from Eastern England, CSIR Great Britain 1, 8 (Oxford 1994) 24-25, Nr. 49; Pl. 20, 49. ;",Britannia,Lincoln,Lindum,epitaph / stele,G(aio) Saufeio / G(ai) f(ilio) Fab(ia) Her(aclea) / militi legio(nis) / VIIII / annor(um) XXXX / stip(endiorum) XXII / h(ic) s(itus) e(st),51,71,EDH dating field (51 AD - 71 AD),"C. Saufeius C. f. Fab., Heraclea","miles leg. VIIII (aged 40, stip. 22)",yes,"Concordance EDCS EDCS-07800504. = EDH HD069558 (RIB 255 = ILS 2255, Lincoln); livius.org ""tombstone of Gaius Saufeius""."
EDH,HD069559,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD069559,"CIL 07, 00184. ; RIB 0256; Zeichnung. ; J. Huskinson, Roman sculpture from Eastern England, CSIR Great Britain 1, 8 (Oxford 1994) 25, Nr. 50; Pl. 20, 50. ;",Britannia,Lincoln,Lindum,epitaph / stele,L(uci) Semproni Fla/vini mil(i)t(i)s leg(ionis) VIIII / |(centuria) Babudi Severi / aer(um) VII an(n)or(um) XXX / (H)ispani Galeria / Clunia,51,71,EDH dating field (51 AD - 71 AD),"L. Sempronius Flavinus, Hispanus, Gal., Clunia","miles leg. VIIII, centuria Babudi Severi (aerum VII, aged 30)",yes,"Concordance EDCS EDCS-07800505. = EDH HD069559 (RIB 256, Lincoln)."
EDH,HD069562,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD069562,"CIL 07, 00188. ; CIL 07, 00196. ; RIB 0260. ; J. Huskinson, Roman sculpture from Eastern England, CSIR Great Britain 1, 8 (Oxford 1994) 26, Nr. 52; Pl. 20, 52. ;",Britannia,Lincoln,Lindum,epitaph / tabula?,[--]rcu[-] / [---]s M(arci) [f(ilius)] / Camilla Pisa/uro mil(es) / leg(ionis) V[IIII ---],51,71,EDH dating field (51 AD - 71 AD),"[...]rcu[...]s M. f. Cam., Pisaurum",miles leg. VIIII,yes,"Concordance EDCS EDCS-07800509. = EDH HD069562 (RIB 260, Lincoln)."
EDH,HD069924,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD069924,"EphEp 7, p. 300 n. 928. (B) ; RIB 0659; Zeichnung. ;",Britannia,York,Eburacum,votive inscription / altar,D[eo sancto] / Silva[no s(acrum)] / L(ucius) Celerin[i]us / Vitalis corni(cularius) / leg(ionis) VIIII His(panae) / v(otum) s(olvit) l(ibens) l(aetus) m(erito) / et donum hoc donum / adpertiniat cautum attiggam,71,122,EDH dating field (71 AD - 122 AD),L. Celerinius Vitalis,cornicularius leg. VIIII Hispanae,yes,"Concordance EDCS EDCS-07800942. = EDH HD069924 (RIB 659, York; altar to Silvanus)."
EDH,HD069928,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD069928,"CIL 07, 00241. (B) ; RIB 0665; Foto u. Zeichnung. ;",Britannia,York,Eburacum,building/dedicatory inscription / tabula,[I]mp(erator) Caesar / [divi N]ervae fil(ius) Ne[rva] / [Trai]anus Aug(ustus) Ger[m(anicus) Dac]/[icus po]ntifex maximu[s tribun]/[iciae po]testatis XII imp(erator) V[I co(n)s(ul) V p(ater) p(atriae)] / [portam] per leg(ionem) VIIII Hi[sp(anam) fecit],107,108,EDH dating field (107 AD - 108 AD),"Imp. Caesar Nerva Traianus Aug. (trib. pot. XII, cos. V)",building inscription: porta per leg. VIIII Hisp. facta,yes,"Concordance EDCS EDCS-07800948. = EDH HD069928 (RIB 665 = CIL VII 241, York fortress gate, AD 107/108). Latest securely dated attestation in Britain."
EDH,HD069936,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD069936,"CIL 07, 00243. ; RIB 0673; Foto u. Zeichnung. ; S.R. Tufi, Yorkshire, CSIR Great Britain 1, 3 (Oxford 1983) 29-30, Nr. 44; Pl. 14, 44. ;",Britannia,York,Eburacum,epitaph / stele,L(ucius) Duccius / L(uci) Volt(inia) Rufi/nus Vien(na) / signif(er) leg(ionis) VIIII / an(norum) XXIIX / h(ic) s(itus) e(st),71,122,EDH dating field (71 AD - 122 AD),"L. Duccius L. f. Vol. Rufinus, Vienna",signifer leg. VIIII (aged 28),yes,"Concordance EDCS EDCS-07800964. = EDH HD069936 (RIB 673, York)."
EDH,HD069942,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD069942,"CIL 07, 00244. ; RIB 0680; Zeichnung. ; S.R. Tufi, Yorkshire, CSIR Great Britain 1, 3 (Oxford 1983) 43-44, Nr. 66; Pl. 20, 66. ;",Britannia,York,Eburacum,epitaph / tabula,[G(aio) ---]o G(ai) fil(io) / [Cl(audia) ---] [N]ovaria / [--- leg(ionis) I]X Hisp(anae) here/[des et lib(erti)] patrono / [bene mer]enti fecerunt,71,122,EDH dating field (71 AD - 122 AD),"C. [...]us C. f. Cla. [...], Novaria",[miles?] leg. IX Hispanae,yes,"Concordance EDCS EDCS-07800971. = EDH HD069942 (RIB 680, York)."
EDH,HD073328,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD073328,RIB 3042; Foto u. Zeichnung. ;,Britannia,Hayling Island,,votive inscription? / altar?,------] / [--- Na]evian[us(?) ---] / [--- l]eg(ionis) VIII[I(?) ---] / [------,43,100,EDH dating field (43 AD - 100 AD),[Na]evianus,[miles?] leg. VIIII,yes,"Concordance EDCS EDCS-44500013. = EDH HD073328 (RIB 3042, Hayling Island; votive fragment)."
EDCS,EDCS-01000406,https://edcs.hist.uzh.ch/monument/EDCS-01000406,CIL 06 41280; AIIRoma 08 00022; AE 1967 00020,Roma,Roma,,milites; ordo equester; tituli honorarii; viri / material: lapis,] leg(ionis) IX [Hispanae 3] / [3] proc(uratori) pr[ov(inciae) 3] / [3 et provinciae no]vae(?) Arab[iae,106,161,EDCS dating field (no criteria stated),anonymous eques,[trib. mil.?] leg. IX Hispanae; procurator prov. [...] et provinciae novae Arabiae,yes,"= EDH HD013966 (CIL VI 41280 = AE 1967, 20). EDH dates 106-161, commentary: ""zwischen 106 (Einrichtung der Provinz Arabia) u. 161 (Zerstoerung der legio IX Hispana)""."
EDCS,EDCS-01401118,https://edcs.hist.uzh.ch/monument/EDCS-01401118,Pais 00180; InscrAqu 02 02761; AE 2019 +00505,Venetia et Histria / Regio X,Aquileia,,milites; tituli sepulcrales; viri / material: lapis,C(aio) Aninio / [3] Lem(onia) Bono[n(ia)] / [mi]l(iti) leg(ionis) VIIII / [stip(endiorum)] XXII / [3 d]e [s]uo,10,43,EDCS dating field (no criteria stated),"C. Aninius, Lemonia, Bononia",miles leg. VIIII (stip. XXII),yes,Aquileia group; no cognomen of legion given. Not in EDH.
EDCS,EDCS-01401119,https://edcs.hist.uzh.ch/monument/EDCS-01401119,InscrAqu 02 02762; Epigraphica 1988 00001; AE 1988 00583; AE 2009 +00856,Venetia et Histria / Regio X,Aquileia,,liberti/libertae; milites; mulieres; praenomen et nomen; tituli sepulcrales; tria nomina; viri / material: lapis,Betutia Sex(ti) l(iberta) Fusca / v(iva) f(ecit) sibi et / Sex(to) Betutio Sex(ti) f(ilio) Vol(tinia) / Vi<e=A>nna patrono sig(nifero) / leg(ionis) VIIII vet(erano) et / Sex(to) Betutio Sex(ti) l(iberto) Secundo conlib(erto) / et M(arco) Salvio Primo amico,31,70,EDCS dating field (no criteria stated),"Sex. Betutius Sex. f. Vol. Vianna(?), Vienna","signifer leg. VIIII, veteranus",yes,"= EDH HD003697 (AE 1988, 583). No legion cognomen."
EDCS,EDCS-01600184,https://edcs.hist.uzh.ch/monument/EDCS-01600184,CIL 05 00906; InscrAqu 02 02763; AE 2019 +00031,Venetia et Histria / Regio X,Aquileia,,milites; ordo decurionum; tituli sepulcrales; tria nomina; viri / material: lapis,T(itus) Cassius T(iti) f(ilius) Firmus / |(centurio) leg(ionis) VIIII Hisp(anae) IIIIvir i(ure) d(icundo),1,50,EDCS dating field (no criteria stated),T. Cassius T. f. Firmus,centurio leg. VIIII Hisp(anae); IIIIvir i.d.,yes,Aquileia. Not in EDH.
EDCS,EDCS-01600189,https://edcs.hist.uzh.ch/monument/EDCS-01600189,CIL 05 00911; InscrAqu 02 02764; AE 2013 +00541; AE 2019 +00505,Venetia et Histria / Regio X,Aquileia,,milites; praenomen et nomen; tituli sepulcrales; viri / material: lapis,C(aius) Fabius / C(ai) f(ilius) / Publil(ia) / Verona / miles leg(ionis) / VIIII Hisp(anae) / h(ic) s(itus) e(st),10,43,EDCS dating field (no criteria stated),C. Fabius C. f. Pub. Verona,miles leg. VIIII Hispanae,yes,CIL V 911; cited by livius.org as evidence for the legion in the Aquileia/Pannonia area under Augustus. Not in EDH.
EDCS,EDCS-01600224,https://edcs.hist.uzh.ch/monument/EDCS-01600224,CIL 05 00947; InscrAqu 02 02765,Venetia et Histria / Regio X,Aquileia,,milites; praenomen et nomen; tituli sepulcrales; viri / material: lapis,Q(uintus) Vettidius Q(uinti) f(ilius) / Cla(udia) Beria / mil(es) leg(ionis) VIIII / stip(endiorum) VIII / M(arcus) Petronius / et M(arcus) Attius / heredes posuer(unt),1,50,EDCS dating field (no criteria stated),Q. Vettidius Q. f. Cla. Beria,miles leg. VIIII (stip. VIII),yes,Aquileia; no legion cognomen. Not in EDH.
EDCS,EDCS-03000651,https://edcs.hist.uzh.ch/monument/EDCS-03000651,ZPE 111 281; UlpiaNov p 152; AE 1996 01107; AE 2000 +01011,Germania inferior,Nijmegen / Noviomagus Batavorum,,milites; tituli possessionis / material: aes,Leg(io) Hisp(ana) / IX,121,130,EDCS dating field (no criteria stated),-,silvered bronze phalera pendant inscribed LEG HISP IX,yes,"= EDH HD050314 (AE 1996, 1107; ZPE 111, 281; Nijmegen/Ewijk). EDCS/EDH date 121-130."
EDCS,EDCS-03300636,https://edcs.hist.uzh.ch/monument/EDCS-03300636,AE 1995 01010,Britannia,Corbridge / Coria / Corstopitum,,sigilla impressa; tituli fabricationis / material: opus figlinae,[Le]g(io) VIII[I,,,EDCS: undated,-,stamp/graffito LEG VIIII,yes,"= EDH HD050845 (AE 1995, 1010, Corbridge)."
EDCS,EDCS-03300728,https://edcs.hist.uzh.ch/monument/EDCS-03300728,CERom 19/20 00876; AE 1995 01204; AE 2014 +00009; RICeleia 00216,Noricum,Celje / Celeia,,milites; ordo equester; tituli honorarii; tria nomina; viri / material: lapis,p]raef(ecto) eq(uitum) al(ae) Br[itannicae] / miliariae prae[fecto auxil(iis)] / [H]ispaniensib(us) in T[ingitaniam] / [M]auretanic(am) mis[sis praef(ecto)] / [eq(uitum)] al(ae) II Pannonior(um) [trib(uno) mil(itum) leg(ionis)] / [XX]X U(lpiae) praef(ecto) coh(ortis) II G[allorum] / Macedonicae / [M]arcius Felix prae[positus] / [si]ngularium praes[idi] / optime de se merito,147,150,EDCS dating field (no criteria stated),T. Varius Clemens,praefectus auxiliis Hispaniensibus,no,"= EDH HD050953 (Celeia); auxilia, not the legion."
EDCS,EDCS-04200484,https://edcs.hist.uzh.ch/monument/EDCS-04200484,"CIL 05 00397; InscrIt 10 02, 00242; D 02240",Venetia et Histria / Regio X,Vizinada / Visinade / Parentium,,milites; mulieres; praenomen et nomen; tria nomina; viri / material: lapis,L(ucius) Vinusius / L(uci) f(ilius) veter(anus) / leg(ionis) VIIII / Triumph(alis) / Septumiae / P(ubli) f(iliae) Sabinae / uxori / Vinusiae Tert/ullae f(iliae) anno(rum) X,1,50,EDCS dating field (no criteria stated),L. Vinusius L. f.,veteranus leg. VIIII Triumphalis,flag,"ILS 2240. Cognomen ""Triumphalis"": earlier (triumviral) title of a ninth legion; identity with the later IX Hispana is the usual assumption (Ritterling; Keppie) but not certain."
EDCS,EDCS-04201559,https://edcs.hist.uzh.ch/monument/EDCS-04201559,CIL 05 02507,Venetia et Histria / Regio X,Este / Ateste,, / material: lapis,L(ucius) Mestrius / C(ai) f(ilius) Rom(ilia) / leg(ionis) IX,1,50,EDCS dating field (no criteria stated),L. Mestrius C. f. Rom.,(miles/veteranus) leg. IX,flag,Ateste veteran colony (Augustan); legion IX without cognomen.
EDCS,EDCS-04203381,https://edcs.hist.uzh.ch/monument/EDCS-04203381,"CIL 05 04329 (p 1079); InscrIt 10 05, 00116; D 00940",Venetia et Histria / Regio X,Brescia / Brixia,,milites; ordo senatorius; sacerdotes pagani; tituli honorarii; tria nomina; viri / material: lapis,P(ublio) Cornelio Len[tulo] / Scipioni co(n)s(uli) praef(ecto) / aerari(i) legato Ti(beri) / Caesaris Aug(usti) leg(ionis) / VIIII Hispan(ae) pontif(ici) / fetiali d(ecreto) d(ecurionum),24,30,EDCS dating field (no criteria stated),P. Cornelius Lentulus Scipio (cos. suff. AD 24),legatus Ti. Caesaris Aug. leg. VIIII Hispanae,yes,"ILS 940. Commander of the legion in Africa against Tacfarinas, AD 22-24 (Tac. Ann. 3.74). Not in EDH."
EDCS,EDCS-04400181,https://edcs.hist.uzh.ch/monument/EDCS-04400181,"InscrIt 10 02, 00252; CIL 05 08197; Pais 00037",Venetia et Histria / Regio X,Porec / Parenzo / Parentium,,tituli sepulcrales / material: lapis,M(arco) Mor[ano 1 f(ilio)] / Voltiom[no patri] / Apiaria[e 1 f(iliae)] / Tertiae m[atri] / M(arco) Morano [M(arci) f(ilio)] / Rufo fratri opti(oni) / leg(ionis) VIIII / [1] Morano M(arci) f(ilio) / fratri militi / leg(ionis) XI / L(ucius) Moranu[s M(arci) f(ilius) 3] / v(ivus) [f(ecit)],,,EDCS: undated,"M. Moranus M. f. Rufus (brother of Moranus, miles leg. XI)",optio leg. VIIII,yes,"InscrIt X 2, 252; the Porec/Parentium ""tombstone of Moranus"" cited by livius.org. Not in EDH."
EDCS,EDCS-05100371,https://edcs.hist.uzh.ch/monument/EDCS-05100371,"CIL 05 05218; Hiberia p 316,07; AE 2007 +00647",Transpadana / Regio XI,Lasnigo,,mulieres; tituli sepulcrales; viri / material: lapis,V(ivus) f(ecit) / veter(anus) leg(ionis) VIIII / C(aius) Alebo Castici / f(ilius) sibi et Pompei/ae Dorchadi con/iugi suae,-50,-1,EDCS dating field (no criteria stated),C. Alebo Castici f.,veteranus leg. VIIII,flag,EDCS dates 50-1 BC: could be the Caesarian/triumviral Ninth rather than the imperial IX Hispana.
EDCS,EDCS-05100973,https://edcs.hist.uzh.ch/monument/EDCS-05100973,CIL 05 05818; AE 1995 00652; AE 2012 +00014; Sartori-2020 00036,Transpadana / Regio XI,Milano / Mediolanum,,liberti/libertae; milites; mulieres; nomen singulare; praenomen et nomen; tituli sepulcrales; viri / material: lapis,V(ivus) v(iva) || [3 A]lbucius Vindilli f(ilius) / [vet]eranus miles / [le]g(ionis) VIIII t(estamento) f(ieri) i(ussit) sibi et / [A]mphioni l(ibertae) uxori / [,26,50,EDCS dating field (no criteria stated),Albucius Vindilli f.,veteranus miles leg. VIIII,yes,CIL V 5818; no legion cognomen. Not in EDH.
EDCS,EDCS-05400409,https://edcs.hist.uzh.ch/monument/EDCS-05400409,CIL 05 07159,Liguria / Regio IX,Monteu da Po / Industria,,liberti/libertae; milites; nomen singulare; ordo equester; tituli honorarii; tria nomina; viri / material: lapis,M(arco) Cocceio M(arci) f(ilio) / Pol(lia) Severo / prim(o) pilo leg(ionis) VIIII / Hispanae / praefecto leg(ionis) X Geminae / Cinnamus l(ibertus),101,200,EDCS dating field (no criteria stated),M. Cocceius M. f. Pol. Severus,primus pilus leg. VIIII Hispanae; praefectus leg. X Geminae,yes,CIL V 7159. Praefectus (castrorum) of X Gemina implies a date c. AD 70-120 (X Gemina at Nijmegen until c. 104). Not in EDH.
EDCS,EDCS-05400693,https://edcs.hist.uzh.ch/monument/EDCS-05400693,"CIL 05 07443; SupIt 17 FF, 00004; EMonferrato 00012; Hiberia p 328; AE 1987 00414; AE 1999 +00651",Liguria / Regio IX,Valenza / Forum Fulvii,,milites; mulieres; praenomen et nomen; tituli sepulcrales; tria nomina / material: lapis,M(arco) Vibio Q(uinti) f(ilio) Pom(ptina) / veter(ano) leg(ionis) IX / Hispanienis / Herenniae M(arci) f(iliae) Salin[ae] / ux{s}ori / Sal(vio) Vibio M(arci) f(ilio) Po[m(ptina)] / Clementi,1,50,EDCS dating field (no criteria stated),M. Vibius Q. f. Pom.,veteranus leg. IX Hispaniensis,yes,"= EDH HD003587 (AE 1987, 414). Augustan form ""Hispaniensis""."
EDCS,EDCS-05400745,https://edcs.hist.uzh.ch/monument/EDCS-05400745,CIL 05 07495; D 02337,Liguria / Regio IX,Chieri / Carreum Potentia,,milites; praenomen et nomen; tituli sepulcrales; viri / material: lapis,L(ucius) Coelius Q(uinti) f(ilius) / miles leg(ionis) VIIII / signifer ob / virtutes phalaris / torquibus / armillis don[atus,-50,-1,EDCS dating field (no criteria stated),L. Coelius Q. f.,"miles leg. VIIII, signifer; donatus phaleris torquibus armillis",flag,ILS 2337. EDCS dates 50-1 BC: possibly the Caesarian/triumviral Ninth.
EDCS,EDCS-05801602,https://edcs.hist.uzh.ch/monument/EDCS-05801602,"CIL 14 03612; CIL 09 *00608,1; EE 09 p 470; Macerata p 213; D 01025; InscrIt 04 01, 00129; BritRom 03 00019; Epigraphica 2018 394; AE 2018 +00151",Samnium / Regio IV,Tivoli / Tibur,,Augusti/Augustae; milites; ordo senatorius; sacerdotes pagani; tituli honorarii; viri / material: lapis,L(ucio) Roscio M(arci) f(ilio) Qui(rina) / Aeliano Maecio / Celeri / co(n)s(uli) proco(n)s(uli) provinc(iae) / Africae pr(aetori) tr(ibuno) pl(ebis) quaest(ori) / Aug(usti) Xvir(o) stlitib(us) iudic(andis) / trib(uno) mil(itum) leg(ionis) IX Hispan(ae) / vexillarior(um) eiusdem / in expeditione Germanica / donato ab Imp(eratore) Aug(usto) / militarib(us) donis corona / vallari et murali vexillis / argenteis II hastis puris II / salio / C(aius) Vecilius C(ai) f(ilius) Pal(atina) Probus / amico optimo / l(ocus) d(atus) s(enatus) c(onsulto),117,118,EDCS dating field (no criteria stated),L. Roscius M. f. Qui. Aelianus Maecius Celer (cos. suff. 100),"tribunus militum leg. IX Hispanae, vexillariorum eiusdem in expeditione Germanica (AD 83); donatus dona militaria",yes,"= EDH HD030763 (CIL XIV 3612 = ILS 1025, Tibur)."
EDCS,EDCS-07800503,https://edcs.hist.uzh.ch/monument/EDCS-07800503,RIB 01 00254; AE 1951 00129; BritRom 02 00013,Britannia,Lincoln / Lindum,,tituli sepulcrales / material: lapis,Q(uinti) Corneli / Q(uinti) f(ilii) Cla(udia) eq(uitis) / le(gionis) VIIII [|(centuria)] Cassi / Martialis an(norum) / XL stip(endiorum) XIX / h(ic) s(itus) e(st),51,70,EDCS dating field (no criteria stated),Q. Cornelius Q. f. Cla.,"eques leg. VIIII, centuria Cassi Martialis (aged 40, stip. 19)",yes,"= EDH HD021172 (RIB 254, Lincoln)."
EDCS,EDCS-07800504,https://edcs.hist.uzh.ch/monument/EDCS-07800504,CIL 07 00183; RIB 01 00255; D 02255; BritRom 02 00004,Britannia,Lincoln / Lindum,,milites; praenomen et nomen; tituli sepulcrales; viri / material: lapis,C(aio) Saufeio / C(ai) f(ilio) Fab(ia) Her(aclea) / militi legio(nis) / VIIII / annor(um) XXXX / stip(endiorum) XXII / h(ic) s(itus) e(st),51,70,EDCS dating field (no criteria stated),"C. Saufeius C. f. Fab., Heraclea","miles leg. VIIII (aged 40, stip. 22)",yes,"= EDH HD069558 (RIB 255 = ILS 2255, Lincoln); livius.org ""tombstone of Gaius Saufeius""."
EDCS,EDCS-07800505,https://edcs.hist.uzh.ch/monument/EDCS-07800505,CIL 07 00184; RIB 01 00256; Aera 00014,Britannia,Lincoln / Lindum,, / material: lapis,L(uci) Semproni Fla/vini mil(i)t(i)s leg(ionis) VIIII / |(centuria) Babudi Severi / aer(orum) VII an(n)or(um) XXX / (H)ispani Galeria / Clunia,51,70,EDCS dating field (no criteria stated),"L. Sempronius Flavinus, Hispanus, Gal., Clunia","miles leg. VIIII, centuria Babudi Severi (aerum VII, aged 30)",yes,"= EDH HD069559 (RIB 256, Lincoln)."
EDCS,EDCS-07800506,https://edcs.hist.uzh.ch/monument/EDCS-07800506,RIB 01 00257; AE 1909 00241,Britannia,Lincoln / Lindum,,tituli sepulcrales / material: lapis,C(aius) Valerius C(ai) f(ilius) / Maec(ia) mil(es) leg(ionis) / IX sign(ifer) |(centuriae) Hospitis / ann(orum) XXXV stip(endiorum) XIIII / t(estamento) p(oni) i(ussit) / h(ic) [s(itus) e(st)],51,70,EDCS dating field (no criteria stated),C. Valerius C. f. Maec.,"miles leg. IX, signifer, centuria Hospitis (aged 35, stip. 14)",yes,"= EDH HD020249 (RIB 257, Lincoln)."
EDCS,EDCS-07800509,https://edcs.hist.uzh.ch/monument/EDCS-07800509,CIL 07 00188; CIL 07 00196; RIB 01 00260,Britannia,Lincoln / Lindum,, / material: lapis,[3]rcu[1] / [3]s M(arci) [f(ilius)] / Camilia Pisa/uro mil(es) / leg(ionis) V[IIII,51,70,EDCS dating field (no criteria stated),"[...]rcu[...]s M. f. Cam., Pisaurum",miles leg. VIIII,yes,"= EDH HD069562 (RIB 260, Lincoln)."
EDCS,EDCS-07800942,https://edcs.hist.uzh.ch/monument/EDCS-07800942,RIB 01 00659; ZPE 204 24; AE 2017 +00896; CLE 02473bis,Britannia,York / Eboracum,,carmina; milites; tituli sacri; tria nomina; viri / material: lapis,D[eo Sancto] / Silva[no s(acrum)] / L(ucius) Celerin[i]us / Vitalis corni(cularius) / leg(ionis) VIIII His(panae) / v(otum) s(olvit) l(ibens) l(aetus) m(erito) || et donum hoc donum / adpertiniat(!) cautum attiggam(!),101,120,EDCS dating field (no criteria stated),L. Celerinius Vitalis,cornicularius leg. VIIII Hispanae,yes,"= EDH HD069924 (RIB 659, York; altar to Silvanus)."
EDCS,EDCS-07800948,https://edcs.hist.uzh.ch/monument/EDCS-07800948,CIL 07 00241; RIB 01 00665; BritRom 04 00016; Kaschuba-1994 00025,Britannia,York / Eboracum,,Augusti/Augustae; milites; tituli operum; tituli sacri; viri / material: lapis,[I]mp(erator) Caesar / [divi N]ervae fil(ius) Ne[rva] / [Trai]anus Aug(ustus) Ger[m(anicus) Dac]/[icus po]ntifex maximu[s tribun]/[iciae po]testatis XII imp(erator) V[I co(n)s(ul) V p(ater) p(atriae)] / [portam] per leg(ionem) VIIII Hi[sp(anam) fecit],107,108,EDCS dating field (no criteria stated),"Imp. Caesar Nerva Traianus Aug. (trib. pot. XII, cos. V)",building inscription: porta per leg. VIIII Hisp. facta,yes,"= EDH HD069928 (RIB 665 = CIL VII 241, York fortress gate, AD 107/108). Latest securely dated attestation in Britain."
EDCS,EDCS-07800964,https://edcs.hist.uzh.ch/monument/EDCS-07800964,CIL 07 00243; RIB 01 00673; BritRom 03 00004,Britannia,York / Eboracum,,milites; tituli sepulcrales; tria nomina; viri / material: lapis,L(ucius) Duccius / L(uci) (!) Volt(inia) Rufi/nus Vien(na) / signif(er) leg(ionis) VIIII / an(norum) XXIIX / h(ic) s(itus) e(st),71,122,EDCS dating field (no criteria stated),"L. Duccius L. f. Vol. Rufinus, Vienna",signifer leg. VIIII (aged 28),yes,"= EDH HD069936 (RIB 673, York)."
EDCS,EDCS-07800971,https://edcs.hist.uzh.ch/monument/EDCS-07800971,CIL 07 00244; RIB 01 00680,Britannia,York / Eboracum,,liberti/libertae / material: lapis,[3]o C(ai) fil(io) / [3 N]ovaria / [3 leg(ionis) I]X Hisp(anae) here/[des et lib(erti)] patrono / [bene mer]enti fecerunt,71,122,EDCS dating field (no criteria stated),"C. [...]us C. f. Cla. [...], Novaria",[miles?] leg. IX Hispanae,yes,"= EDH HD069942 (RIB 680, York)."
EDCS,EDCS-08100002,https://edcs.hist.uzh.ch/monument/EDCS-08100002,"SupIt 17 FF, 00002; Habitus 00063; Piemonte 00070; AE 1998 00522; AE 1999 +00651",Liguria / Regio IX,Bassignana / Forum Fulvii,,milites; praenomen et nomen; tituli sepulcrales; viri / material: lapis,Sex(to) Aemilio / Sex(ti) f(ilio) Pom(ptina) / leg(ionis) VIIII,1,50,EDCS dating field (no criteria stated),Sex. Aemilius Sex. f. Pom.,(miles/veteranus) leg. VIIII,yes,"AE 1998, 522; no legion cognomen. Not in EDH."
EDCS,EDCS-08200279,https://edcs.hist.uzh.ch/monument/EDCS-08200279,"Corinth 08 02, 00054; Hiberia p 330; AE 1919 00001",Achaia,Corinth / Korinthos / Corinthus,,Augusti/Augustae; milites; ordo decurionum; ordo senatorius; tituli honorarii; tria nomina; viri,[L(ucio) A]quillio C(ai) f(ilio) Pom(ptina) / [Fl]oro Turciano Gallo / [Xviro] stlitib(us) iud(icandis) trib(uno) mil(itum) leg(ionis) VIIII Mac(edonicae) / [qu(aestori)] [proq]uaest(ori) Cypro(!) ex auctoritate Aug(usti) / [trib(uno) pl(ebis)] pr(aetori) proco(n)s(uli) provinciae Ach(aiae) / [3]TI Ti(beri) Claudi Anaxilas et / [Dinippus II]vir(i?) quinq(uennales) sua pecunia,52,53,EDCS dating field (no criteria stated),L. Aquillius C. f. Pom. Florus Turcianus Gallus,tribunus militum leg. VIIII Macedonicae,flag,"= EDH HD026601 (Corinth). ""IX Macedonica"" = Augustan-period cognomen of a ninth legion, usually identified with the later IX Hispana (Ritterling; Keppie); flagged."
EDCS,EDCS-08400837,https://edcs.hist.uzh.ch/monument/EDCS-08400837,CIL 12 00260; ILN 01 00115,Gallia Narbonensis,Callian / Forum Iulii,, / material: lapis,C(aio) Kafatio G(ai) f(ilio) / Ani(ensi) Capitoni / veterano leg(ionis) / VIIII parent[i?,,,EDCS: undated,C. Kafatius C. f. Ani. Capito,veteranus leg. VIIII,yes,CIL XII 260 = ILN Frejus 115; Forum Iulii veteran. Not in EDH.
