n,pamphlet_straight_word,pamphlet_straight_initial,pamphlet_numbering_words,pamphlet_numbering_initials,nara_word,nara_initial,gillogly_initial,straight_ne_gillogly,pamphlet_numbering_ne_gillogly,nara_ne_gillogly
622,swarms,S,their,T,swarms,S,O,X,X,X
623,of,O,substance,S,of,O,O,,X,
624,officers,O,he,H,officers,O,T,X,X,X
625,to,T,has,H,to,T,H,X,,X
626,harass,H,kept,K,harrass,H,O,X,X,X
627,our,O,among,A,our,O,P,X,X,X
628,people,P,us,U,people,P,A,X,X,X
629,and,A,in,I,and,A,E,X,X,X
630,eat,E,times|of,OT,eat,E,O,X,X,X
631,out,O,of|peace,OP,out,O,T,X,X,X
632,their,T,peace|standing,PS,their,T,S,X,X,X
633,substance,S,standing|armies,AS,substance,S,H,X,X,X
634,he,H,armies|without,AW,he,H,H,,X,
635,has,H,without|the,TW,has,H,K,X,X,X
636,kept,K,the|consent,CT,kept,K,A,X,X,X
637,among,A,consent|of,CO,among,A,U,X,X,X
638,us,U,of|our,O,us,U,I,X,X,X
639,in,I,our|legislature,LO,in,I,T,X,X,X
640,times,T,legislature|he,HL,times,T,O,X,X,X
641,of,O,has,H,of,O,P,X,X,X
642,peace,P,offered,O,peace,P,S,X,X,X
643,standing,S,to,T,standing,S,A,X,X,X
644,armies,A,render,R,armies,A,W,X,X,X
645,without,W,the,T,without,W,T,X,,X
646,the,T,military,M,the,T,C,X,X,X
647,consent,C,independent,I,consent,C,O,X,X,X
648,of,O,of,O,of,O,O,,,
649,our,O,and,A,our,O,L,X,X,X
650,legislature,L,superior,S,legislatures,L,H,X,X,X
651,he,H,to,T,he,H,H,,X,
652,has,H,the,T,has,H,A,X,X,X
653,offered,O,civil,C,affected,A,T,X,X,X
654,to,T,power,P,to,T,R,X,X,X
655,render,R,he,H,render,R,T,X,X,X
656,the,T,has,H,the,T,M,X,X,X
657,military,M,combined,C,military,M,I,X,X,X
658,independent,I,with,W,independent,I,O,X,X,X
659,of,O,others,O,of,O,A,X,X,X
660,and,A,to,T,and,A,S,X,X,X
661,superior,S,subject,S,superior,S,T,X,X,X
662,to,T,us,U,to,T,T,,X,
663,the,T,to,T,the,T,C,X,X,X
664,civil,C,a,A,civil,C,P,X,X,X
665,power,P,jurisdiction,J,power,P,H,X,X,X
666,he,H,foreign,F,he,H,H,,X,
667,has,H,to,T,has,H,C,X,X,X
668,combined,C,our,O,combined,C,W,X,X,X
669,with,W,constitution,C,with,W,O,X,X,X
670,others,O,and|unacknowledged,AU,others,O,T,X,X,X
671,to,T,unacknowledged|by,BU,to,T,S,X,X,X
672,subject,S,by|our,BO,subject,S,U,X,X,X
673,us,U,our|laws,LO,us,U,T,X,X,X
674,to,T,laws|giving,GL,to,T,A,X,X,X
675,a,A,giving|his,GH,a,A,J,X,X,X
676,jurisdiction,J,his|assent,AH,jurisdiction,J,F,X,X,X
677,foreign,F,assent|to,AT,foreign,F,T,X,X,X
678,to,T,to|their,T,to,T,O,X,X,X
679,our,O,their|acts,AT,our,O,C,X,X,X
680,constitution,C,acts|of,AO,constitution,C,A,X,X,X
681,and,A,pretended,P,and,A,U,X,X,X
682,unacknowledged,U,legislation,L,unacknowledged,U,B,X,X,X
683,by,B,for,F,by,B,O,X,X,X
684,our,O,quartering,Q,our,O,L,X,X,X
685,laws,L,large,L,laws,L,G,X,X,X
686,giving,G,bodies,B,giving,G,H,X,X,X
687,his,H,of,O,his,H,A,X,X,X
688,assent,A,armed,A,assent,A,T,X,X,X
689,to,T,troops,T,to,T,T,,,
690,their,T,among,A,their,T,A,X,,X
691,acts,A,us,U,acts,A,O,X,X,X
692,of,O,for,F,of,O,P,X,X,X
693,pretended,P,protecting,P,pretended,P,L,X,X,X
694,legislation,L,them,T,legislation,L,F,X,X,X
695,for,F,by,B,for,F,Q,X,X,X
696,quartering,Q,a,A,quartering,Q,L,X,X,X
697,large,L,mock,M,large,L,B,X,X,X
698,bodies,B,trial,T,bodies,B,O,X,X,X
699,of,O,from,F,of,O,A,X,X,X
700,armed,A,punishment,P,armed,A,T,X,X,X
701,troops,T,for,F,troops,T,A,X,X,X
702,among,A,any,A,among,A,U,X,X,X
703,us,U,murders,M,us,U,F,X,X,X
704,for,F,which,W,for,F,P,X,X,X
705,protecting,P,they,T,protecting,P,T,X,,X
706,them,T,should,S,them,T,B,X,X,X
707,by,B,commit,C,by,B,A,X,X,X
708,a,A,on,O,a,A,M,X,X,X
709,mock,M,the,T,mock,M,T,X,,X
710,trial,T,inhabitants,I,trial,T,T,,X,
711,from,F,of,O,from,F,P,X,X,X
712,punishment,P,these,T,punishment,P,F,X,X,X
713,for,F,states,S,for,F,A,X,X,X
714,any,A,for,F,any,A,M,X,X,X
715,murders,M,cutting,C,murders,M,W,X,X,X
716,which,W,off,O,which,W,T,X,X,X
717,they,T,our,O,they,T,S,X,X,X
718,should,S,trade,T,should,S,C,X,X,X
719,commit,C,with,W,commit,C,O,X,X,X
720,on,O,all,A,on,O,T,X,X,X
721,the,T,parts,P,the,T,I,X,X,X
722,inhabitants,I,of,O,inhabitants,I,O,X,,X
723,of,O,the,T,of,O,T,X,,X
724,these,T,world,W,these,T,S,X,X,X
725,states,S,for,F,states,S,F,X,,X
726,for,F,imposing,I,for,F,C,X,X,X
727,cutting,C,taxes,T,cutting,C,O,X,X,X
728,off,O,on,O,off,O,O,,,
729,our,O,us,U,our,O,T,X,X,X
730,trade,T,without,W,trade,T,W,X,,X
731,with,W,our,O,with,W,A,X,X,X
732,all,A,consent,C,all,A,P,X,X,X
733,parts,P,for,F,parts,P,O,X,X,X
734,of,O,depriving,D,of,O,T,X,X,X
735,the,T,us,U,the,T,W,X,X,X
736,world,W,in,I,world,W,F,X,X,X
737,for,F,many,M,for,F,I,X,X,X
738,imposing,I,cases,C,imposing,I,T,X,X,X
739,taxes,T,of,O,taxes,T,O,X,,X
740,on,O,the,T,on,O,U,X,X,X
741,us,U,benefits,B,us,U,W,X,X,X
742,without,W,of,O,without,W,O,X,,X
743,our,O,trial,T,our,O,C,X,X,X
744,consent,C,by,B,consent,C,F,X,X,X
745,for,F,jury,J,for,F,D,X,X,X
746,depriving,D,for,F,depriving,D,U,X,X,X
747,us,U,transporting,T,us,U,I,X,X,X
748,in,I,us,U,in,I,M,X,X,X
749,many,M,beyond,B,many,M,C,X,X,X
750,cases,C,seas,S,cases,C,O,X,X,X
751,of,O,to,T,of,O,T,X,,X
752,the,T,be,B,the,T,B,X,,X
753,benefits,B,tried,T,benefits,B,O,X,X,X
754,of,O,for,F,of,O,T,X,X,X
755,trial,T,pretended,P,trial,T,B,X,X,X
756,by,B,offences,O,by,B,J,X,X,X
757,jury,J,for,F,jury,J,F,X,,X
758,for,F,abolishing,A,for,F,T,X,X,X
759,transporting,T,the,T,transporting,T,U,X,X,X
760,us,U,free,F,us,U,B,X,X,X
761,beyond,B,system,S,beyond,B,S,X,,X
762,seas,S,of,O,seas,S,T,X,X,X
763,to,T,english,E,to,T,B,X,X,X
764,be,B,laws,L,be,B,T,X,X,X
765,tried,T,in,I,tried,T,F,X,X,X
766,for,F,a,A,for,F,P,X,X,X
767,pretended,P,neighboring,N,pretended,P,O,X,X,X
768,offences,O,province,P,offences,O,F,X,X,X
769,for,F,establishing,E,for,F,A,X,X,X
770,abolishing,A,therein,T,abolishing,A,T,X,,X
771,the,T,an,A,the,T,F,X,X,X
772,free,F,arbitrary,A,free,F,S,X,X,X
773,system,S,government,G,system,S,O,X,X,X
774,of,O,and,A,of,O,E,X,X,X
775,english,E,enlarging,E,english,E,L,X,X,X
776,laws,L,its,I,laws,L,I,X,,X
777,in,I,boundaries,B,in,I,A,X,X,X
778,a,A,so,S,a,A,N,X,X,X
779,neighboring,N,as,A,neighbouring,N,P,X,X,X
780,province,P,to,T,province,P,E,X,X,X
781,establishing,E,render,R,establishing,E,T,X,X,X
782,therein,T,it,I,therein,T,A,X,X,X
783,an,A,at,A,an,A,A,,,
784,arbitrary,A,once,O,arbitrary,A,G,X,X,X
785,government,G,an,A,government,G,A,X,,X
786,and,A,example,E,and,A,E,X,,X
787,enlarging,E,and,A,enlarging,E,I,X,X,X
788,its,I,fit,F,its,I,B,X,X,X
789,boundaries,B,instrument,I,boundaries,B,S,X,X,X
790,so,S,for,F,so,S,A,X,X,X
791,as,A,introducing,I,as,A,T,X,X,X
792,to,T,the,T,to,T,R,X,X,X
793,render,R,same,S,render,R,I,X,X,X
794,it,I,absolute,A,it,I,A,X,,X
795,at,A,rule,R,at,A,O,X,X,X
796,once,O,in,I,once,O,A,X,X,X
797,an,A,these,T,an,A,E,X,X,X
798,example,E,colonies,C,example,E,A,X,X,X
799,and,A,for,F,and,A,F,X,,X
800,fit,F,taking,T,fit,F,I,X,X,X
801,instrument,I,away,A,instrument,I,F,X,X,X
802,for,F,our,O,for,F,I,X,X,X
803,introducing,I,charters,C,introducing,I,T,X,X,X
804,the,T,abolishing,A,the,T,S,X,X,X
805,same,S,our,O,same,S,A,X,X,X
806,absolute,A,most,M,absolute,A,R,X,X,X
807,rule,R,valuable,V,rule,R,I,X,X,X
808,in,I,laws,L,into,I,T,X,X,X
809,these,T,and,A,these,T,C,X,X,X
810,colonies,C,altering,A,colonies,C,F,X,X,X
811,for,F,fundamentally,F,for,F,T,X,X,X
812,taking,T,the,T,taking,T,A,X,X,X
813,away,A,powers,P,away,A,O,X,X,X
814,our,O,of,O,our,O,C,X,X,X
815,charters,C,our,O,charters,C,A,X,X,X
816,abolishing,A,governments,G,abolishing,A,O,X,X,X
817,our,O,for,F,our,O,M,X,X,X
818,most,M,suspending,S,most,M,V,X,X,X
819,valuable,V,our,O,valuable,V,L,X,X,X
820,laws,L,own,O,laws,L,A,X,X,X
821,and,A,legislatures,L,and,A,A,,X,
822,altering,A,and,A,altering,A,Y,X,X,X
823,fundamentally,F,declaring,D,fundamentally,F,T,X,X,X
824,the,T,themselves,T,the,T,F,X,X,X
825,powers,P,invested,I,forms,F,O,X,X,X
826,of,O,with,W,of,O,O,,X,
827,our,O,power,P,our,O,G,X,X,X
828,governments,G,to,T,governments,G,F,X,X,X
829,for,F,legislate,L,for,F,S,X,X,X
830,suspending,S,for,F,suspending,S,O,X,X,X
831,our,O,us,U,our,O,O,,X,
832,own,O,in,I,own,O,L,X,X,X
833,legislatures,L,all,A,legislatures,L,A,X,,X
834,and,A,cases,C,and,A,D,X,X,X
835,declaring,D,whatsoever,W,declaring,D,T,X,X,X
836,themselves,T,he,H,themselves,T,I,X,X,X
837,invested,I,has,H,invested,I,W,X,X,X
838,with,W,abdicated,A,with,W,P,X,X,X
839,power,P,government,G,power,P,T,X,X,X
840,to,T,here,H,to,T,L,X,X,X
841,legislate,L,by,B,legislate,L,F,X,X,X
842,for,F,declaring,D,for,F,U,X,X,X
843,us,U,us,U,us,U,I,X,X,X
844,in,I,out,O,in,I,A,X,X,X
845,all,A,of,O,all,A,C,X,X,X
846,cases,C,his,H,cases,C,W,X,X,X
847,whatsoever,W,protection,P,whatsoever,W,H,X,X,X
848,he,H,and,A,he,H,H,,X,
849,has,H,waging,W,has,H,A,X,X,X
850,abdicated,A,war,W,abdicated,A,G,X,X,X
851,government,G,against,A,government,G,H,X,X,X
852,here,H,us,U,here,H,B,X,X,X
853,by,B,he,H,by,B,D,X,X,X
854,declaring,D,has,H,declaring,D,U,X,X,X
855,us,U,plundered,P,us,U,O,X,X,X
856,out,O,our,O,out,O,O,,,
857,of,O,seas,S,of,O,H,X,X,X
858,his,H,ravaged,R,his,H,P,X,X,X
859,protection,P,our,O,protection,P,A,X,X,X
860,and,A,coasts,C,and,A,W,X,X,X
861,waging,W,burnt,B,waging,W,W,,X,
862,war,W,our,O,war,W,A,X,X,X
863,against,A,towns,T,against,A,U,X,X,X
864,us,U,and,A,us,U,H,X,X,X
865,he,H,destroyed,D,he,H,H,,X,
866,has,H,the,T,has,H,P,X,X,X
867,plundered,P,lives,L,plundered,P,O,X,X,X
868,our,O,of,O,our,O,S,X,X,X
869,seas,S,our,O,seas,S,R,X,X,X
870,ravaged,R,people,P,ravaged,R,O,X,X,X
871,our,O,he,H,our,O,C,X,X,X
872,coasts,C,is,I,coasts,C,B,X,X,X
873,burnt,B,at,A,burnt,B,O,X,X,X
874,our,O,this,T,our,O,T,X,,X
875,towns,T,time,T,towns,T,A,X,X,X
876,and,A,transporting,T,and,A,D,X,X,X
877,destroyed,D,large,L,destroyed,D,T,X,X,X
878,the,T,armies,A,the,T,L,X,X,X
879,lives,L,of,O,lives,L,O,X,,X
880,of,O,foreign,F,of,O,O,,X,
881,our,O,mercenaries,M,our,O,P,X,X,X
882,people,P,to,T,people,P,H,X,X,X
883,he,H,complete,C,he,H,I,X,X,X
884,is,I,the,T,is,I,A,X,X,X
885,at,A,works,W,at,A,T,X,X,X
886,this,T,of,O,this,T,T,,X,
887,time,T,death,D,time,T,T,,X,
888,transporting,T,desolation,D,transporting,T,L,X,X,X
889,large,L,and,A,large,L,A,X,,X
890,armies,A,tyranny,T,armies,A,O,X,X,X
891,of,O,already,A,of,O,F,X,X,X
892,foreign,F,begun,B,foreign,F,M,X,X,X
893,mercenaries,M,with,W,mercenaries,M,T,X,X,X
894,to,T,circumstances,C,to,T,C,X,,X
895,complete,C,of,O,compleat,C,T,X,X,X
896,the,T,cruelty,C,the,T,W,X,X,X
897,works,W,and,A,works,W,O,X,X,X
898,of,O,perfidy,P,of,O,D,X,X,X
899,death,D,scarcely,S,death,D,D,,X,
900,desolation,D,paralleled,P,desolation,D,A,X,X,X
901,and,A,in,I,and,A,T,X,X,X
902,tyranny,T,the,T,tyranny,T,A,X,X,X
903,already,A,most,M,already,A,B,X,X,X
904,begun,B,barbarous,B,begun,B,W,X,X,X
905,with,W,ages,A,with,W,C,X,X,X
906,circumstances,C,and,A,circumstances,C,O,X,X,X
907,of,O,totally,T,of,O,C,X,X,X
908,cruelty,C,unworthy,U,cruelty,C,A,X,X,X
909,and,A,the,T,perfidy,P,P,X,X,
910,perfidy,P,head,H,scarcely,S,S,X,X,
911,scarcely,S,of,O,paralleled,P,P,X,X,
912,paralleled,P,a,A,in,I,I,X,X,
913,in,I,civilized,C,the,T,T,X,X,
914,the,T,nation,N,most,M,M,X,X,
915,most,M,he,H,barbarous,B,B,X,X,
916,barbarous,B,has,H,ages,A,A,X,X,
917,ages,A,constrained,C,and,A,A,,X,
918,and,A,our,O,totally,T,T,X,X,
919,totally,T,fellow,F,unworthy,U,U,X,X,
920,unworthy,U,citizens,C,the,T,I,X,X,X
921,the,T,taken,T,head,H,H,X,X,
922,head,H,captive,C,of,O,O,X,X,
923,of,O,on,O,a,A,A,X,X,
924,a,A,the,T,civilized,C,C,X,X,
925,civilized,C,high,H,nation,N,N,X,X,
926,nation,N,seas,S,he,H,H,X,X,
927,he,H,to,T,has,H,H,,X,
928,has,H,bear,B,constrained,C,C,X,X,
929,constrained,C,arms,A,our,O,O,X,X,
930,our,O,against,A,fellow,F,F,X,X,
931,fellow,F,their,T,citizens,C,C,X,X,
932,citizens,C,country,C,taken,T,T,X,X,
933,taken,T,to,T,captive,C,C,X,X,
934,captive,C,become,B,on,O,O,X,X,
935,on,O,the,T,the,T,T,X,,
936,the,T,executioners,E,high,H,H,X,X,
937,high,H,of,O,seas,S,S,X,X,
938,seas,S,their,T,to,T,T,X,,
939,to,T,friends,F,bear,B,B,X,X,
940,bear,B,and,A,arms,A,A,X,,
941,arms,A,brethren,B,against,A,A,,X,
942,against,A,or,O,their,T,T,X,X,
943,their,T,to,T,country,C,C,X,X,
944,country,C,fall,F,to,T,T,X,X,
945,to,T,themselves,T,become,B,B,X,X,
946,become,B,by,B,the,T,T,X,X,
947,the,T,their,T,executioners,E,E,X,X,
948,executioners,E,hands,H,of,O,O,X,X,
949,of,O,he,H,their,T,T,X,X,
950,their,T,has,H,friends,F,F,X,X,
951,friends,F,excited,E,and,A,A,X,X,
952,and,A,domestic,D,brethren,B,B,X,X,
953,brethren,B,insurrections,I,or,O,O,X,X,
954,or,O,amongst,A,to,T,T,X,X,
955,to,T,us,U,fall,F,F,X,X,
956,fall,F,and,A,themselves,T,T,X,X,
957,themselves,T,has,H,by,B,B,X,X,
958,by,B,endeavored,E,their,T,T,X,X,
959,their,T,to,T,hands,H,H,X,X,
960,hands,H,bring,B,he,H,H,,X,
961,he,H,on,O,has,H,H,,X,
962,has,H,the,T,excited,E,E,X,X,
963,excited,E,inhabitants,I,domestic,D,D,X,X,
964,domestic,D,of,O,insurrections,I,I,X,X,
965,insurrections,I,our,O,amongst,A,A,X,X,
966,amongst,A,frontiers,F,us,U,U,X,X,
967,us,U,the,T,and,A,A,X,X,
968,and,A,merciless,M,has,H,H,X,X,
969,has,H,indian,I,endeavoured,E,E,X,X,
970,endeavored,E,savages,S,to,T,T,X,X,
971,to,T,whose,W,bring,B,B,X,X,
972,bring,B,known,K,on,O,O,X,X,
973,on,O,rule,R,the,T,T,X,X,
974,the,T,of,O,inhabitants,I,I,X,X,
975,inhabitants,I,warfare,W,of,O,O,X,X,
976,of,O,is,I,our,O,O,,X,
977,our,O,an,A,frontiers,F,F,X,X,
978,frontiers,F,undistinguished,U,the,T,T,X,X,
979,the,T,destruction,D,merciless,M,M,X,X,
980,merciless,M,of,O,indian,I,I,X,X,
981,indian,I,all,A,savages,S,S,X,X,
982,savages,S,ages,A,whose,W,W,X,X,
983,whose,W,sexes,S,known,K,K,X,X,
984,known,K,and,A,rule,R,R,X,X,
985,rule,R,conditions,C,of,O,O,X,X,
986,of,O,in,I,warfare,W,W,X,X,
987,warfare,W,every,E,is,I,I,X,X,
988,is,I,stage,S,an,A,A,X,X,
989,an,A,of,O,undistinguished,U,U,X,X,
990,undistinguished,U,these,T,destruction,D,D,X,X,
991,destruction,D,oppressions,O,of,O,O,X,,
992,of,O,we,W,all,A,A,X,X,
993,all,A,have,H,ages,A,A,,X,
994,ages,A,petitioned,P,sexes,S,X,X,X,X
995,sexes,S,for,F,and,A,A,X,X,
996,and,A,redress,R,conditions,C,C,X,X,
997,conditions,C,in,I,in,I,I,X,,
998,in,I,the,T,every,E,E,X,X,
999,every,E,most,M,stage,S,S,X,X,
1000,stage,S,humble,H,of,O,O,X,X,
1001,of,O,terms,T,these,T,T,X,,
1002,these,T,our,O,oppressions,O,O,X,,
1003,oppressions,O,repeated,R,we,W,W,X,X,
1004,we,W,petitions,P,have,H,H,X,X,
1005,have,H,have,H,petitioned,P,P,X,X,
1006,petitioned,P,been,B,for,F,F,X,X,
1007,for,F,answered,A,redress,R,R,X,X,
1008,redress,R,only,O,in,I,I,X,X,
1009,in,I,by,B,the,T,T,X,X,
1010,the,T,repeated,R,most,M,M,X,X,
1011,most,M,injury,I,humble,H,H,X,X,
1012,humble,H,a,A,terms,T,T,X,X,
1013,terms,T,prince,P,our,O,O,X,X,
1014,our,O,whose,W,repeated,R,R,X,X,
1015,repeated,R,character,C,petitions,P,P,X,X,
1016,petitions,P,is,I,have,H,H,X,X,
1017,have,H,thus,T,been,B,B,X,X,
1018,been,B,marked,M,answered,A,A,X,X,
1019,answered,A,by,B,only,O,O,X,X,
1020,only,O,every,E,by,B,B,X,X,
1021,by,B,act,A,repeated,R,R,X,X,
1022,repeated,R,which,W,injury,I,I,X,X,
1023,injury,I,may,M,a,A,A,X,X,
1024,a,A,define,D,prince,P,P,X,X,
1025,prince,P,a,A,whose,W,W,X,X,
1026,whose,W,tyrant,T,character,C,C,X,X,
1027,character,C,is,I,is,I,I,X,,
1028,is,I,unfit,U,thus,T,T,X,X,
1029,thus,T,to,T,marked,M,M,X,X,
1030,marked,M,be,B,by,B,B,X,,
1031,by,B,the,T,every,E,E,X,X,
1032,every,E,ruler,R,act,A,A,X,X,
1033,act,A,of,O,which,W,W,X,X,
1034,which,W,a,A,may,M,M,X,X,
1035,may,M,free,F,define,D,D,X,X,
1036,define,D,people,P,a,A,A,X,X,
1037,a,A,nor,N,tyrant,T,T,X,X,
1038,tyrant,T,have,H,is,I,I,X,X,
1039,is,I,we,W,unfit,U,U,X,X,
1040,unfit,U,been,B,to,T,T,X,X,
1041,to,T,wanting,W,be,B,B,X,X,
1042,be,B,in,I,the,T,T,X,X,
1043,the,T,attention,A,ruler,R,R,X,X,
1044,ruler,R,to,T,of,O,O,X,X,
1045,of,O,our,O,a,A,A,X,X,
1046,a,A,british,B,free,F,F,X,X,
1047,free,F,brethren,B,people,P,P,X,X,
1048,people,P,we,W,nor,N,N,X,X,
1049,nor,N,have,H,have,H,H,X,,
1050,have,H,warned,W,we,W,W,X,,
1051,we,W,them,T,been,B,B,X,X,
1052,been,B,from,F,wanting,W,W,X,X,
1053,wanting,W,time,T,in,I,I,X,X,
1054,in,I,to,T,attentions,A,A,X,X,
1055,attention,A,time,T,to,T,T,X,,
1056,to,T,of,O,our,O,O,X,,
1057,our,O,attempts,A,brittish,B,B,X,X,
1058,british,B,made,M,brethren,B,B,,X,
1059,brethren,B,by,B,we,W,W,X,X,
1060,we,W,their,T,have,H,H,X,X,
1061,have,H,legislature,L,warned,W,W,X,X,
1062,warned,W,to,T,them,T,T,X,,
1063,them,T,extend,E,from,F,F,X,X,
1064,from,F,an,A,time,T,T,X,X,
1065,time,T,unwarrantable,U,to,T,T,,X,
1066,to,T,jurisdiction,J,time,T,T,,X,
1067,time,T,over,O,of,O,O,X,,
1068,of,O,us,U,attempts,A,A,X,X,
1069,attempts,A,we,W,by,B,B,X,X,
1070,made,M,have,H,their,T,T,X,X,
1071,by,B,reminded,R,legislature,L,L,X,X,
1072,their,T,them,T,to,T,T,,,
1073,legislature,L,of,O,extend,E,E,X,X,
1074,to,T,the,T,an,A,A,X,X,
1075,extend,E,circumstances,C,unwarrantable,U,U,X,X,
1076,an,A,of,O,jurisdiction,J,J,X,X,
1077,unwarrantable,U,our,O,over,O,O,X,,
1078,jurisdiction,J,emigration,E,us,U,U,X,X,
1079,over,O,and,A,we,W,W,X,X,
1080,us,U,settlement,S,have,H,H,X,X,
1081,we,W,here,H,reminded,R,R,X,X,
1082,have,H,we,W,them,T,T,X,X,
1083,reminded,R,have,H,of,O,O,X,X,
1084,them,T,appealed,A,the,T,T,,X,
1085,of,O,to,T,circumstances,C,C,X,X,
1086,the,T,their,T,of,O,O,X,X,
1087,circumstances,C,native,N,our,O,O,X,X,
1088,of,O,justice,J,emigration,E,E,X,X,
1089,our,O,and,A,and,A,A,X,,
1090,emigration,E,magnanimity,M,settlement,S,S,X,X,
1091,and,A,and,A,here,H,H,X,X,
1092,settlement,S,we,W,we,W,W,X,,
1093,here,H,have,H,have,H,H,,,
1094,we,W,conjured,C,appealed,A,A,X,X,
1095,have,H,them,T,to,T,T,X,,
1096,appealed,A,by,B,their,T,T,X,X,
1097,to,T,the,T,native,N,N,X,X,
1098,their,T,ties,T,justice,J,J,X,X,
1099,native,N,of,O,and,A,A,X,X,
1100,justice,J,our,O,magnanimity,M,M,X,X,
1101,and,A,common,C,and,A,A,,X,
1102,magnanimity,M,kindred,K,we,W,W,X,X,
1103,and,A,to,T,have,H,H,X,X,
1104,we,W,disavow,D,conjured,C,C,X,X,
1105,have,H,these,T,them,T,T,X,,
1106,conjured,C,usurpations,U,by,B,B,X,X,
1107,them,T,which,W,the,T,T,,X,
1108,by,B,would,W,ties,T,T,X,X,
1109,the,T,inevitably,I,of,O,O,X,X,
1110,ties,T,interrupt,I,our,O,O,X,X,
1111,of,O,our,O,common,C,C,X,X,
1112,our,O,connection,C,kindred,K,K,X,X,
1113,common,C,and,A,to,T,T,X,X,
1114,kindred,K,correspondence,C,disavow,D,D,X,X,
1115,to,T,they,T,these,T,T,,,
1116,disavow,D,too,T,usurpations,U,U,X,X,
1117,these,T,have,H,which,W,W,X,X,
1118,usurpations,U,been,B,would,W,W,X,X,
1119,which,W,deaf,D,inevitably,I,I,X,X,
1120,would,W,to,T,interrupt,I,I,X,X,
1121,inevitably,I,the,T,our,O,O,X,X,
1122,interrupt,I,voice,V,connections,C,C,X,X,
1123,our,O,of,O,and,A,A,X,X,
1124,connection,C,justice,J,correspondence,C,C,,X,
1125,and,A,and,A,they,T,T,X,X,
1126,correspondence,C,consanguinity,C,too,T,T,X,X,
1127,they,T,we,W,have,H,H,X,X,
1128,too,T,must,M,been,B,B,X,X,
1129,have,H,therefore,T,deaf,D,D,X,X,
1130,been,B,acquiesce,A,to,T,T,X,X,
1131,deaf,D,in,I,the,T,T,X,X,
1132,to,T,the,T,voice,V,V,X,X,
1133,the,T,necessity,N,of,O,O,X,X,
1134,voice,V,which,W,justice,J,J,X,X,
1135,of,O,denounces,D,and,A,A,X,X,
1136,justice,J,our,O,of,O,O,X,,
1137,and,A,separation,S,consanguinity,C,C,X,X,
1138,consanguinity,C,and,A,we,W,W,X,X,
1139,we,W,hold,H,must,M,M,X,X,
1140,must,M,them,T,therefore,T,T,X,,
1141,therefore,T,as,A,acquiesce,A,A,X,,
1142,acquiesce,A,we,W,in,I,I,X,X,
1143,in,I,hold,H,the,T,T,X,X,
1144,the,T,the,T,necessity,N,N,X,X,
1145,necessity,N,rest,R,which,W,W,X,X,
1146,which,W,of,O,denounces,D,D,X,X,
1147,denounces,D,mankind,M,our,O,O,X,X,
1148,our,O,enemies,E,separation,S,S,X,X,
1149,separation,S,in,I,and,A,A,X,X,
1150,and,A,war,W,hold,H,H,X,X,
1151,hold,H,in,I,them,T,T,X,X,
1152,them,T,peace,P,as,A,A,X,X,
1153,as,A,friends,F,we,W,W,X,X,
1154,we,W,we,W,hold,H,H,X,X,
1155,hold,H,therefore,T,the,T,T,X,,
1156,the,T,the,T,rest,R,R,X,X,
1157,rest,R,representatives,R,of,O,O,X,X,
1158,of,O,of,O,mankind,M,M,X,X,
1159,mankind,M,the,T,enemies,E,E,X,X,
1160,enemies,E,united,U,in,I,I,X,X,
1161,in,I,states,S,war,W,W,X,X,
1162,war,W,of,O,in,I,I,X,X,
1163,in,I,america,A,peace,P,P,X,X,
1164,peace,P,in,I,friends,F,F,X,X,
1165,friends,F,general,G,we,W,W,X,X,
1166,we,W,congress,C,therefore,T,T,X,X,
1167,therefore,T,assembled,A,the,T,T,,X,
1168,the,T,appealing,A,representatives,R,R,X,X,
1169,representatives,R,to,T,of,O,O,X,X,
1170,of,O,the,T,the,T,T,X,,
1171,the,T,supreme,S,united,U,U,X,X,
1172,united,U,judge,J,states,S,S,X,X,
1173,states,S,of,O,of,O,O,X,,
1174,of,O,the,T,america,A,A,X,X,
1175,america,A,world,W,in,I,I,X,X,
1176,in,I,for,F,general,G,G,X,X,
1177,general,G,the,T,congress,C,C,X,X,
1178,congress,C,rectitude,R,assembled,A,A,X,X,
1179,assembled,A,of,O,appealing,A,A,,X,
1180,appealing,A,our,O,to,T,T,X,X,
1181,to,T,intentions,I,the,T,T,,X,
1182,the,T,do,D,supreme,S,S,X,X,
1183,supreme,S,in,I,judge,J,J,X,X,
1184,judge,J,the,T,of,O,O,X,X,
1185,of,O,name,N,the,T,T,X,X,
1186,the,T,and,A,world,W,W,X,X,
1187,world,W,by,B,for,F,F,X,X,
1188,for,F,the,T,the,T,T,X,,
1189,the,T,authority,A,rectitude,R,R,X,X,
1190,rectitude,R,of,O,of,O,O,X,,
1191,of,O,the,T,our,O,O,,X,
1192,our,O,good,G,intentions,I,I,X,X,
1193,intentions,I,people,P,do,D,D,X,X,
1194,do,D,of,O,in,I,I,X,X,
1195,in,I,these,T,the,T,T,X,,
1196,the,T,colonies,C,name,N,N,X,X,
1197,name,N,solemnly,S,and,A,A,X,X,
1198,and,A,publish,P,by,B,B,X,X,
1199,by,B,and,A,authority,A,A,X,,
1200,the,T,declare,D,of,O,O,X,X,
1201,authority,A,that,T,the,T,T,X,,
1202,of,O,these,T,good,G,G,X,X,
1203,the,T,united,U,people,P,P,X,X,
